Date,Visitor,G,Home,G,,Att.,LOG,Notes
2010-10-07,Chicago Blackhawks,3,Colorado Avalanche,4,OT,18007,,
2010-10-07,Calgary Flames,0,Edmonton Oilers,4,,16839,,
2010-10-07,Carolina Hurricanes,4,Minnesota Wild,3,,12355,,at Helsinki FI
2010-10-07,Philadelphia Flyers,3,Pittsburgh Penguins,2,,18289,,
2010-10-07,Montreal Canadiens,2,Toronto Maple Leafs,3,,19646,,
2010-10-08,Washington Capitals,2,Atlanta Thrashers,4,,15596,,
2010-10-08,Minnesota Wild,1,Carolina Hurricanes,2,SO,13465,,at Helsinki FI
2010-10-08,San Jose Sharks,3,Columbus Blue Jackets,2,,11324,,at Stockholm SE
2010-10-08,Anaheim Ducks,0,Detroit Red Wings,4,,20066,,
2010-10-08,Dallas Stars,4,New Jersey Devils,3,OT,17625,,
2010-10-08,Buffalo Sabres,2,Ottawa Senators,1,,19350,,
2010-10-09,Phoenix Coyotes,5,Boston Bruins,2,,15299,,at Prague CZ
2010-10-09,New York Rangers,6,Buffalo Sabres,3,,18690,,
2010-10-09,Detroit Red Wings,3,Chicago Blackhawks,2,,22161,,
2010-10-09,Anaheim Ducks,1,Nashville Predators,4,,17113,,
2010-10-09,Dallas Stars,5,New York Islanders,4,SO,13351,,
2010-10-09,Montreal Canadiens,3,Pittsburgh Penguins,2,,18106,,
2010-10-09,Columbus Blue Jackets,3,San Jose Sharks,2,OT,9537,,at Stockholm SE
2010-10-09,Philadelphia Flyers,1,St. Louis Blues,2,OT,19150,,
2010-10-09,Atlanta Thrashers,3,Tampa Bay Lightning,5,,19791,,
2010-10-09,Ottawa Senators,1,Toronto Maple Leafs,5,,19157,,
2010-10-09,Los Angeles Kings,2,Vancouver Canucks,1,SO,18860,,
2010-10-09,New Jersey Devils,2,Washington Capitals,7,,18398,,
2010-10-10,Los Angeles Kings,1,Calgary Flames,3,,19289,,
2010-10-10,Florida Panthers,2,Edmonton Oilers,3,,16839,,
2010-10-10,Boston Bruins,3,Phoenix Coyotes,0,,12990,,at Prague CZ
2010-10-11,Chicago Blackhawks,4,Buffalo Sabres,3,,17896,,
2010-10-11,Pittsburgh Penguins,3,New Jersey Devils,1,,12880,,
2010-10-11,New York Rangers,4,New York Islanders,6,,11748,,
2010-10-11,Colorado Avalanche,2,Philadelphia Flyers,4,,19652,,
2010-10-11,Anaheim Ducks,1,St. Louis Blues,5,,19150,,
2010-10-11,Florida Panthers,1,Vancouver Canucks,2,,18860,,
2010-10-11,Ottawa Senators,2,Washington Capitals,3,OT,18398,,
2010-10-12,Colorado Avalanche,5,Detroit Red Wings,4,SO,19651,,
2010-10-12,Atlanta Thrashers,1,Los Angeles Kings,3,,18118,,
2010-10-13,Vancouver Canucks,3,Anaheim Ducks,4,,17174,,
2010-10-13,New Jersey Devils,1,Buffalo Sabres,0,OT,18690,,
2010-10-13,Nashville Predators,3,Chicago Blackhawks,2,,20680,,
2010-10-13,Tampa Bay Lightning,4,Montreal Canadiens,3,OT,21273,,
2010-10-13,Toronto Maple Leafs,4,Pittsburgh Penguins,3,,18112,,
2010-10-13,New York Islanders,1,Washington Capitals,2,,18398,,
2010-10-14,Florida Panthers,3,Calgary Flames,0,,19289,,
2010-10-14,Detroit Red Wings,1,Dallas Stars,4,,18532,,
2010-10-14,Edmonton Oilers,2,Minnesota Wild,4,,18449,,
2010-10-14,St. Louis Blues,3,Nashville Predators,4,,15103,,
2010-10-14,Carolina Hurricanes,2,Ottawa Senators,3,,16270,,
2010-10-14,Tampa Bay Lightning,3,Philadelphia Flyers,2,,19592,,
2010-10-15,Atlanta Thrashers,5,Anaheim Ducks,4,SO,13123,,
2010-10-15,Montreal Canadiens,2,Buffalo Sabres,1,,17264,,
2010-10-15,Chicago Blackhawks,5,Columbus Blue Jackets,2,,18305,,
2010-10-15,Vancouver Canucks,1,Los Angeles Kings,4,,18118,,
2010-10-15,Colorado Avalanche,3,New Jersey Devils,2,,12221,,
2010-10-15,Toronto Maple Leafs,4,New York Rangers,3,OT,18200,,
2010-10-15,New York Islanders,2,Pittsburgh Penguins,3,OT,18195,,
2010-10-16,Edmonton Oilers,3,Calgary Flames,5,,19289,,
2010-10-16,Buffalo Sabres,3,Chicago Blackhawks,4,,21293,,
2010-10-16,St. Louis Blues,2,Dallas Stars,3,SO,11750,,
2010-10-16,Tampa Bay Lightning,0,Florida Panthers,6,,17040,,
2010-10-16,Columbus Blue Jackets,3,Minnesota Wild,2,,17336,,
2010-10-16,Ottawa Senators,3,Montreal Canadiens,4,,21273,,
2010-10-16,Boston Bruins,4,New Jersey Devils,1,,13056,,
2010-10-16,Washington Capitals,3,Nashville Predators,2,OT,16144,,
2010-10-16,Colorado Avalanche,2,New York Islanders,5,,10127,,
2010-10-16,Pittsburgh Penguins,5,Philadelphia Flyers,1,,19684,,
2010-10-16,Detroit Red Wings,2,Phoenix Coyotes,1,OT,17125,,
2010-10-16,Atlanta Thrashers,4,San Jose Sharks,2,,17562,,
2010-10-17,Phoenix Coyotes,2,Anaheim Ducks,3,,13574,,
2010-10-17,Carolina Hurricanes,1,Vancouver Canucks,5,,18860,,
2010-10-18,St. Louis Blues,2,Chicago Blackhawks,3,OT,20641,,
2010-10-18,Colorado Avalanche,3,New York Rangers,1,,17711,,
2010-10-18,Ottawa Senators,2,Pittsburgh Penguins,5,,18101,,
2010-10-18,Dallas Stars,4,Tampa Bay Lightning,5,,13277,,
2010-10-18,New York Islanders,2,Toronto Maple Leafs,1,OT,19086,,
2010-10-19,Vancouver Canucks,2,Minnesota Wild,6,,16806,,
2010-10-19,Calgary Flames,1,Nashville Predators,0,OT,15684,,
2010-10-19,Carolina Hurricanes,5,San Jose Sharks,2,,17562,,
2010-10-19,Boston Bruins,3,Washington Capitals,1,,18398,,
2010-10-20,Buffalo Sabres,4,Atlanta Thrashers,1,,8820,,
2010-10-20,Anaheim Ducks,1,Columbus Blue Jackets,3,,9802,,
2010-10-20,Vancouver Canucks,1,Chicago Blackhawks,2,SO,20859,,
2010-10-20,Carolina Hurricanes,3,Los Angeles Kings,4,,17769,,
2010-10-21,Washington Capitals,1,Boston Bruins,4,,17565,,
2010-10-21,San Jose Sharks,4,Colorado Avalanche,2,,12803,,
2010-10-21,Calgary Flames,2,Detroit Red Wings,4,,18399,,
2010-10-21,Minnesota Wild,4,Edmonton Oilers,2,,16839,,
2010-10-21,Dallas Stars,4,Florida Panthers,1,,11580,,
2010-10-21,New Jersey Devils,3,Montreal Canadiens,0,,21273,,
2010-10-21,Pittsburgh Penguins,4,Nashville Predators,3,OT,17113,,
2010-10-21,Anaheim Ducks,3,Philadelphia Flyers,2,,19012,,
2010-10-21,Los Angeles Kings,2,Phoenix Coyotes,4,,6706,,
2010-10-21,New York Islanders,3,Tampa Bay Lightning,2,OT,13333,,
2010-10-21,New York Rangers,2,Toronto Maple Leafs,1,,19310,,
2010-10-22,Tampa Bay Lightning,5,Atlanta Thrashers,2,,9138,,
2010-10-22,Ottawa Senators,4,Buffalo Sabres,2,,18009,,
2010-10-22,Calgary Flames,6,Columbus Blue Jackets,2,,10784,,
2010-10-22,Chicago Blackhawks,2,St. Louis Blues,4,,19150,,
2010-10-22,Minnesota Wild,1,Vancouver Canucks,5,,18860,,
2010-10-23,New York Rangers,3,Boston Bruins,2,,17565,,
2010-10-23,Columbus Blue Jackets,3,Chicago Blackhawks,2,,21265,,
2010-10-23,Los Angeles Kings,6,Colorado Avalanche,4,,15478,,
2010-10-23,Nashville Predators,1,Dallas Stars,0,,13583,,
2010-10-23,Anaheim Ducks,4,Detroit Red Wings,5,,19401,,
2010-10-23,San Jose Sharks,6,Edmonton Oilers,1,,16839,,
2010-10-23,New York Islanders,3,Florida Panthers,4,,15071,,
2010-10-23,Buffalo Sabres,6,New Jersey Devils,1,,14228,,
2010-10-23,Montreal Canadiens,3,Ottawa Senators,0,,20301,,
2010-10-23,Toronto Maple Leafs,2,Philadelphia Flyers,5,,19382,,
2010-10-23,Carolina Hurricanes,4,Phoenix Coyotes,3,OT,8189,,
2010-10-23,Pittsburgh Penguins,0,St. Louis Blues,1,OT,19150,,
2010-10-23,Atlanta Thrashers,3,Washington Capitals,4,OT,18398,,
2010-10-24,San Jose Sharks,0,Calgary Flames,4,,19289,,
2010-10-24,New Jersey Devils,1,New York Rangers,3,,18200,,
2010-10-24,Nashville Predators,4,Tampa Bay Lightning,3,,14454,,
2010-10-25,Philadelphia Flyers,1,Columbus Blue Jackets,2,,11727,,
2010-10-25,Los Angeles Kings,3,Minnesota Wild,2,SO,17094,,
2010-10-25,Phoenix Coyotes,2,Montreal Canadiens,3,OT,21273,,
2010-10-26,Edmonton Oilers,4,Calgary Flames,5,SO,19289,,
2010-10-26,Anaheim Ducks,5,Dallas Stars,2,,12378,,
2010-10-26,Phoenix Coyotes,2,Ottawa Senators,5,,16686,,
2010-10-26,Buffalo Sabres,3,Philadelphia Flyers,6,,19361,,
2010-10-26,Florida Panthers,1,Toronto Maple Leafs,3,,19239,,
2010-10-26,Colorado Avalanche,3,Vancouver Canucks,4,OT,18860,,
2010-10-27,Washington Capitals,3,Carolina Hurricanes,0,,18680,,
2010-10-27,Los Angeles Kings,1,Chicago Blackhawks,3,,20667,,
2010-10-27,New York Islanders,3,Montreal Canadiens,5,,21273,,
2010-10-27,Atlanta Thrashers,6,New York Rangers,4,,17900,,
2010-10-27,New Jersey Devils,2,San Jose Sharks,5,,17562,,
2010-10-27,Pittsburgh Penguins,3,Tampa Bay Lightning,5,,17226,,
2010-10-28,Toronto Maple Leafs,0,Boston Bruins,2,,17565,,
2010-10-28,Edmonton Oilers,2,Columbus Blue Jackets,3,SO,9128,,
2010-10-28,Colorado Avalanche,6,Calgary Flames,5,,19289,,
2010-10-28,Los Angeles Kings,5,Dallas Stars,2,,11306,,
2010-10-28,Phoenix Coyotes,4,Detroit Red Wings,2,,18165,,
2010-10-28,Washington Capitals,1,Minnesota Wild,2,,17352,,
2010-10-28,St. Louis Blues,3,Nashville Predators,0,,15506,,
2010-10-28,Florida Panthers,3,Ottawa Senators,5,,16294,,
2010-10-29,New Jersey Devils,2,Anaheim Ducks,1,,14724,,
2010-10-29,Buffalo Sabres,3,Atlanta Thrashers,4,OT,10172,,
2010-10-29,Edmonton Oilers,7,Chicago Blackhawks,4,,21061,,
2010-10-29,Montreal Canadiens,3,New York Islanders,1,,11922,,
2010-10-29,Carolina Hurricanes,4,New York Rangers,3,,17819,,
2010-10-29,Philadelphia Flyers,3,Pittsburgh Penguins,2,,18275,,
2010-10-30,Pittsburgh Penguins,3,Carolina Hurricanes,0,,18680,,
2010-10-30,Washington Capitals,7,Calgary Flames,2,,19289,,
2010-10-30,Columbus Blue Jackets,1,Colorado Avalanche,5,,13017,,
2010-10-30,Buffalo Sabres,0,Dallas Stars,4,,15015,,
2010-10-30,Nashville Predators,2,Detroit Red Wings,5,,18711,,
2010-10-30,New Jersey Devils,1,Los Angeles Kings,3,,18118,,
2010-10-30,Chicago Blackhawks,3,Minnesota Wild,1,,18376,,
2010-10-30,Florida Panthers,3,Montreal Canadiens,1,,21273,,
2010-10-30,Boston Bruins,4,Ottawa Senators,0,,18959,,
2010-10-30,New York Islanders,1,Philadelphia Flyers,6,,19613,,
2010-10-30,Tampa Bay Lightning,3,Phoenix Coyotes,0,,8171,,
2010-10-30,Anaheim Ducks,2,San Jose Sharks,5,,17562,,
2010-10-30,Atlanta Thrashers,3,St. Louis Blues,4,SO,19150,,
2010-10-30,New York Rangers,2,Toronto Maple Leafs,0,,19063,,
2010-11-01,Chicago Blackhawks,2,New York Rangers,3,,18200,,
2010-11-01,Carolina Hurricanes,2,Philadelphia Flyers,3,,19038,,
2010-11-01,New Jersey Devils,0,Vancouver Canucks,3,,18860,,
2010-11-02,Montreal Canadiens,0,Columbus Blue Jackets,3,,10466,,
2010-11-02,Vancouver Canucks,4,Edmonton Oilers,3,,16839,,
2010-11-02,San Jose Sharks,0,Minnesota Wild,1,,16502,,
2010-11-02,Ottawa Senators,3,Toronto Maple Leafs,2,,19409,,
2010-11-03,Tampa Bay Lightning,2,Anaheim Ducks,3,OT,13034,,
2010-11-03,Boston Bruins,5,Buffalo Sabres,2,,18428,,
2010-11-03,New York Islanders,2,Carolina Hurricanes,7,,13043,,
2010-11-03,Detroit Red Wings,2,Calgary Flames,1,,19289,,
2010-11-03,New Jersey Devils,5,Chicago Blackhawks,3,,21044,,
2010-11-03,Pittsburgh Penguins,2,Dallas Stars,5,,15637,,
2010-11-03,Atlanta Thrashers,4,Florida Panthers,3,,11212,,
2010-11-03,Nashville Predators,3,Phoenix Coyotes,4,,6761,,
2010-11-03,Toronto Maple Leafs,4,Washington Capitals,5,SO,18398,,
2010-11-04,Columbus Blue Jackets,3,Atlanta Thrashers,0,,8461,,
2010-11-04,Vancouver Canucks,3,Colorado Avalanche,1,,12732,,
2010-11-04,Tampa Bay Lightning,0,Los Angeles Kings,1,,18118,,
2010-11-04,New York Islanders,1,Ottawa Senators,4,,17752,,
2010-11-04,New York Rangers,1,Philadelphia Flyers,4,,19652,,
2010-11-04,San Jose Sharks,0,St. Louis Blues,2,,19150,,
2010-11-05,Pittsburgh Penguins,2,Anaheim Ducks,3,,17174,,
2010-11-05,Montreal Canadiens,3,Buffalo Sabres,2,,18026,,
2010-11-05,Phoenix Coyotes,3,Dallas Stars,6,,12255,,
2010-11-05,Detroit Red Wings,3,Edmonton Oilers,1,,16839,,
2010-11-05,Carolina Hurricanes,4,Florida Panthers,7,,14761,,
2010-11-05,Calgary Flames,1,Minnesota Wild,2,,17124,,
2010-11-05,New York Rangers,3,New Jersey Devils,0,,17625,,
2010-11-05,Boston Bruins,3,Washington Capitals,5,,18389,,
2010-11-06,Chicago Blackhawks,5,Atlanta Thrashers,4,SO,16022,,
2010-11-06,St. Louis Blues,2,Boston Bruins,1,SO,17565,,
2010-11-06,Florida Panthers,2,Carolina Hurricanes,3,,17704,,
2010-11-06,Minnesota Wild,3,Columbus Blue Jackets,2,,13457,,
2010-11-06,Dallas Stars,0,Colorado Avalanche,5,,16172,,
2010-11-06,Nashville Predators,1,Los Angeles Kings,4,,18118,,
2010-11-06,Ottawa Senators,3,Montreal Canadiens,2,,21273,,
2010-11-06,Philadelphia Flyers,2,New York Islanders,1,,13078,,
2010-11-06,Pittsburgh Penguins,4,Phoenix Coyotes,3,SO,14642,,
2010-11-06,Tampa Bay Lightning,2,San Jose Sharks,5,,17562,,
2010-11-06,Buffalo Sabres,3,Toronto Maple Leafs,2,SO,19329,,
2010-11-06,Detroit Red Wings,4,Vancouver Canucks,6,,18860,,
2010-11-07,Nashville Predators,4,Anaheim Ducks,5,,13520,,
2010-11-07,Edmonton Oilers,2,Chicago Blackhawks,1,,21025,,
2010-11-07,St. Louis Blues,2,New York Rangers,0,,17376,,
2010-11-07,Philadelphia Flyers,2,Washington Capitals,3,OT,18398,,
2010-11-08,Phoenix Coyotes,2,Detroit Red Wings,3,OT,19207,,
2010-11-09,Edmonton Oilers,1,Carolina Hurricanes,7,,11890,,
2010-11-09,Calgary Flames,4,Colorado Avalanche,2,,12219,,
2010-11-09,Vancouver Canucks,0,Montreal Canadiens,2,,21273,,
2010-11-09,Washington Capitals,5,New York Rangers,3,,18200,,
2010-11-09,Atlanta Thrashers,2,Ottawa Senators,5,,16583,,
2010-11-09,Anaheim Ducks,3,San Jose Sharks,2,OT,17562,,
2010-11-09,Toronto Maple Leafs,0,Tampa Bay Lightning,4,,16791,,
2010-11-10,New York Islanders,0,Anaheim Ducks,1,,14393,,
2010-11-10,St. Louis Blues,1,Columbus Blue Jackets,8,,10265,,
2010-11-10,Phoenix Coyotes,2,Chicago Blackhawks,1,,21181,,
2010-11-10,Toronto Maple Leafs,1,Florida Panthers,4,,15243,,
2010-11-10,Buffalo Sabres,5,New Jersey Devils,4,SO,14566,,
2010-11-10,Boston Bruins,7,Pittsburgh Penguins,4,,18113,,
2010-11-11,Minnesota Wild,1,Atlanta Thrashers,5,,10055,,
2010-11-11,Montreal Canadiens,3,Boston Bruins,1,,17565,,
2010-11-11,Philadelphia Flyers,8,Carolina Hurricanes,1,,14719,,
2010-11-11,Edmonton Oilers,2,Detroit Red Wings,6,,20066,,
2010-11-11,Dallas Stars,1,Los Angeles Kings,3,,18118,,
2010-11-11,Buffalo Sabres,2,New York Rangers,3,OT,17848,,
2010-11-11,Vancouver Canucks,6,Ottawa Senators,2,,19191,,
2010-11-11,New York Islanders,1,San Jose Sharks,2,SO,17562,,
2010-11-11,Nashville Predators,3,St. Louis Blues,2,SO,19150,,
2010-11-11,Tampa Bay Lightning,3,Washington Capitals,6,,18398,,
2010-11-12,Dallas Stars,2,Anaheim Ducks,4,,13831,,
2010-11-12,Colorado Avalanche,5,Columbus Blue Jackets,1,,13594,,
2010-11-12,Minnesota Wild,1,Florida Panthers,2,,15043,,
2010-11-12,Edmonton Oilers,3,New Jersey Devils,4,OT,14650,,
2010-11-12,Calgary Flames,4,Phoenix Coyotes,5,,11117,,
2010-11-12,Tampa Bay Lightning,1,Pittsburgh Penguins,5,,18275,,
2010-11-13,Pittsburgh Penguins,4,Atlanta Thrashers,2,,16710,,
2010-11-13,Ottawa Senators,2,Boston Bruins,0,,17565,,
2010-11-13,Washington Capitals,2,Buffalo Sabres,3,OT,18690,,
2010-11-13,Colorado Avalanche,1,Detroit Red Wings,3,,20066,,
2010-11-13,New York Islanders,1,Los Angeles Kings,5,,18118,,
2010-11-13,Carolina Hurricanes,2,Montreal Canadiens,7,,21273,,
2010-11-13,Chicago Blackhawks,3,Nashville Predators,4,SO,17113,,
2010-11-13,Florida Panthers,2,Philadelphia Flyers,5,,19616,,
2010-11-13,St. Louis Blues,3,Phoenix Coyotes,5,,9412,,
2010-11-13,Calgary Flames,3,San Jose Sharks,4,,17562,,
2010-11-13,Vancouver Canucks,5,Toronto Maple Leafs,3,,19534,,
2010-11-14,Anaheim Ducks,2,Chicago Blackhawks,3,OT,21244,,
2010-11-14,Edmonton Oilers,2,New York Rangers,8,,17658,,
2010-11-14,Minnesota Wild,4,Tampa Bay Lightning,1,,14868,,
2010-11-14,Atlanta Thrashers,4,Washington Capitals,6,,18398,,
2010-11-15,New Jersey Devils,0,Boston Bruins,3,,17565,,
2010-11-15,Vancouver Canucks,3,Buffalo Sabres,4,OT,18690,,
2010-11-15,St. Louis Blues,3,Colorado Avalanche,6,,12670,,
2010-11-15,Ottawa Senators,1,Philadelphia Flyers,5,,19256,,
2010-11-15,New York Rangers,3,Pittsburgh Penguins,2,OT,18125,,
2010-11-15,Los Angeles Kings,3,San Jose Sharks,6,,17562,,
2010-11-16,Anaheim Ducks,1,Dallas Stars,2,,13443,,
2010-11-16,Philadelphia Flyers,0,Montreal Canadiens,3,,21273,,
2010-11-16,Nashville Predators,4,Toronto Maple Leafs,5,,19069,,
2010-11-17,Florida Panthers,2,Atlanta Thrashers,1,,10168,,
2010-11-17,Ottawa Senators,1,Carolina Hurricanes,7,,12938,,
2010-11-17,Phoenix Coyotes,3,Calgary Flames,1,,19289,,
2010-11-17,San Jose Sharks,3,Colorado Avalanche,4,OT,12436,,
2010-11-17,St. Louis Blues,3,Detroit Red Wings,7,,20066,,
2010-11-17,Chicago Blackhawks,5,Edmonton Oilers,0,,16839,,
2010-11-17,Columbus Blue Jackets,5,Los Angeles Kings,3,,18118,,
2010-11-17,Anaheim Ducks,1,Minnesota Wild,2,OT,16890,,
2010-11-17,Tampa Bay Lightning,4,New York Islanders,2,,8025,,
2010-11-17,Boston Bruins,3,New York Rangers,2,,18200,,
2010-11-17,Vancouver Canucks,1,Pittsburgh Penguins,3,,18252,,
2010-11-17,Buffalo Sabres,2,Washington Capitals,4,,18398,,
2010-11-18,Florida Panthers,0,Boston Bruins,4,,17565,,
2010-11-18,San Jose Sharks,4,Dallas Stars,5,OT,14720,,
2010-11-18,Nashville Predators,3,Montreal Canadiens,0,,21273,,
2010-11-18,Tampa Bay Lightning,8,Philadelphia Flyers,7,,19672,,
2010-11-18,New Jersey Devils,1,Toronto Maple Leafs,3,,19271,,
2010-11-19,Columbus Blue Jackets,4,Anaheim Ducks,3,,13667,,
2010-11-19,Washington Capitals,0,Atlanta Thrashers,5,,11115,,
2010-11-19,Los Angeles Kings,2,Buffalo Sabres,4,,18418,,
2010-11-19,Chicago Blackhawks,2,Calgary Flames,7,,19289,,
2010-11-19,New York Rangers,1,Colorado Avalanche,5,,16002,,
2010-11-19,Minnesota Wild,4,Detroit Red Wings,3,OT,20066,,
2010-11-19,Phoenix Coyotes,4,Edmonton Oilers,3,SO,16839,,
2010-11-19,Carolina Hurricanes,4,Pittsburgh Penguins,5,SO,18264,,
2010-11-19,Ottawa Senators,2,St. Louis Blues,5,,19150,,
2010-11-20,Los Angeles Kings,4,Boston Bruins,3,SO,17565,,
2010-11-20,Tampa Bay Lightning,2,Buffalo Sabres,1,,17833,,
2010-11-20,Nashville Predators,2,Carolina Hurricanes,1,SO,15384,,
2010-11-20,Colorado Avalanche,4,Dallas Stars,3,SO,17441,,
2010-11-20,New York Rangers,5,Minnesota Wild,2,,18695,,
2010-11-20,Toronto Maple Leafs,0,Montreal Canadiens,2,,21273,,
2010-11-20,Florida Panthers,4,New York Islanders,1,,9157,,
2010-11-20,Columbus Blue Jackets,3,San Jose Sharks,0,,17562,,
2010-11-20,New Jersey Devils,2,St. Louis Blues,3,,19150,,
2010-11-20,Chicago Blackhawks,7,Vancouver Canucks,1,,18860,,
2010-11-20,Philadelphia Flyers,5,Washington Capitals,4,SO,18398,,
2010-11-21,Edmonton Oilers,4,Anaheim Ducks,2,,14267,,
2010-11-21,New York Islanders,1,Atlanta Thrashers,2,OT,10066,,
2010-11-21,Calgary Flames,4,Detroit Red Wings,5,OT,19636,,
2010-11-21,Phoenix Coyotes,3,Vancouver Canucks,2,,18860,,
2010-11-22,Nashville Predators,0,Columbus Blue Jackets,2,,10095,,
2010-11-22,Pittsburgh Penguins,3,Florida Panthers,2,,16543,,
2010-11-22,Washington Capitals,0,New Jersey Devils,5,,14107,,
2010-11-22,Calgary Flames,1,New York Rangers,2,,17845,,
2010-11-22,Los Angeles Kings,2,Ottawa Senators,3,,18315,,
2010-11-22,Montreal Canadiens,2,Philadelphia Flyers,3,,19753,,
2010-11-22,Boston Bruins,1,Tampa Bay Lightning,3,,16241,,
2010-11-22,Dallas Stars,1,Toronto Maple Leafs,4,,19266,,
2010-11-23,Edmonton Oilers,0,Phoenix Coyotes,5,,9354,,
